Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Iceland,Europe,6054,1774.1,9,2.64,5,29,8.5,0,0,0,Community transmission
Equatorial Guinea,Africa,6005,428.02,207,14.75,0,91,6.49,2,0.14,0,Community transmission
Benin,Africa,5634,46.47,200,1.65,0,70,0.58,0,0,0,Community transmission
Nicaragua,Americas,5142,77.62,36,0.54,0,173,2.61,1,0.02,0,Community transmission
Central African Republic,Africa,4997,103.46,1,0.02,0,63,1.3,0,0,0,Community transmission
Niger,Africa,4740,19.58,7,0.03,0,172,0.71,2,0.01,0,Community transmission
Gambia,Africa,4712,194.98,158,6.54,21,150,6.21,6,0.25,2,Community transmission
Curaçao,Americas,4708,2869.1,42,25.6,0,22,13.41,0,0,0,Community transmission
Gibraltar,Europe,4238,12579.03,10,29.68,2,93,276.04,5,14.84,1,Clusters of cases
Chad,Africa,3973,24.19,124,0.75,0,140,0.85,6,0.04,0,Community transmission
Sierra Leone,Africa,3887,48.73,32,0.4,0,79,0.99,0,0,0,Community transmission
San Marino,Europe,3716,10949.38,224,660.03,0,74,218.04,2,5.89,0,Community transmission
Comoros,Africa,3571,410.65,69,7.93,0,144,16.56,1,0.11,0,Community transmission
Saint Lucia,Americas,3356,1827.62,278,151.39,0,35,19.06,4,2.18,0,Community transmission
Guinea-Bissau,Africa,3262,165.75,147,7.47,15,48,2.44,1,0.05,0,Community transmission
Jersey,Europe,3216,2955.88,3,2.76,1,69,63.42,1,0.92,0,Community transmission
Barbados,Americas,3038,1057.16,323,112.4,44,33,11.48,2,0.7,0,Community transmission
Mongolia,Western Pacific,2907,88.67,269,8.21,41,2,0.06,0,0,0,Clusters of cases
Eritrea,Africa,2847,80.28,162,4.57,0,7,0.2,0,0,0,Community transmission
United States Virgin Islands,Americas,2646,2533.88,67,64.16,0,25,23.94,0,0,0,Community transmission
Liechtenstein,Europe,2642,6927.66,18,47.2,0,52,136.35,0,0,0,Sporadic cases
Seychelles,Africa,2618,2662,217,220.65,26,11,11.18,1,1.02,0,Community transmission
Viet Nam,Western Pacific,2448,2.51,65,0.07,16,35,0.04,0,0,0,Clusters of cases
Yemen,Eastern Mediterranean,2289,7.67,120,0.4,16,635,2.13,15,0.05,3,Community transmission
Burundi,Africa,2217,18.64,183,1.54,8,3,0.03,0,0,0,Community transmission
Turks and Caicos Islands,Americas,2144,5537.48,116,299.6,45,14,36.16,0,0,0,Clusters of cases
Sint Maarten,Americas,2051,4782.89,24,55.97,0,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,2022,41.93,21,0.44,2,26,0.54,0,0,0,Clusters of cases
Liberia,Africa,2010,39.74,22,0.43,0,85,1.68,0,0,0,Community transmission
Monaco,Europe,1953,4976.56,80,203.85,0,24,61.16,2,5.1,0,Sporadic cases
Sao Tome and Principe,Africa,1786,814.93,176,80.31,0,29,13.23,8,3.65,1,Community transmission
Saint Vincent and the Grenadines,Americas,1556,1402.56,53,47.77,0,8,7.21,2,1.8,0,Community transmission
Saint Martin,Americas,1554,4019.76,98,253.5,0,12,31.04,0,0,0,Community transmission
Papua New Guinea,Western Pacific,1275,14.25,219,2.45,0,12,0.13,2,0.02,0,Community transmission
Bhutan,South-East Asia,867,112.36,1,0.13,0,1,0.13,0,0,0,Clusters of cases
Guernsey,Europe,821,1299.13,9,14.24,2,14,22.15,0,0,0,Community transmission
Cambodia,Western Pacific,820,4.9,252,1.51,15,0,0,0,0,0,Sporadic cases
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Antigua and Barbuda,Americas,726,741.35,128,130.71,0,14,14.3,1,1.02,0,Clusters of cases
Bermuda,Americas,705,1132.11,6,9.63,0,12,19.27,0,0,0,Sporadic cases
Faroe Islands,Europe,658,1346.57,0,0,0,1,2.05,0,0,0,Sporadic cases
Saint Barthélemy,Americas,612,6191.2,137,1385.94,0,0,0,0,0,0,Clusters of cases
Mauritius,Africa,610,47.96,7,0.55,0,10,0.79,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Isle of Man,Europe,484,569.2,34,39.98,9,25,29.4,0,0,0,No cases
Cayman Islands,Americas,438,666.46,10,15.22,0,2,3.04,0,0,0,Sporadic cases
Bonaire,Americas,406,1941.19,19,90.84,0,4,19.13,0,0,0,Community transmission
Brunei Darussalam,Western Pacific,186,42.52,1,0.23,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,153,506,0,0,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,148,131.53,0,0,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,143,248.45,0,0,0,2,3.47,0,0,0,Pending
Dominica,Americas,142,197.25,8,11.11,0,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,113,8.57,10,0.76,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,59,6.58,3,0.33,0,2,0.22,0,0,0,Sporadic cases
New Caledonia,Western Pacific,58,20.32,3,1.05,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,2,57.42,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,45,0.62,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,30,52.84,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,9,80.03,0,0,0,0,0,0,0,0,Sporadic cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,0.33,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
